id;license;rightsHolder;institutionCode;collectionCode;basisOfRecord;occurrenceID;catalogNumber;recordNumber;recordedBy;establishmentMeans;eventDate;year;month;day;collectionCode;locality;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;identifiedBy;dateIdentified;typeStatus;scientificName;kingdom;phylum;class;order;family;genus;infraspecificEpithet;taxonRank
8dc40fea-efe4-4347-b9b8-f82634d37c75;CC_BY_4_0;;CEN;;occurrence;8dc40fea-efe4-4347-b9b8-f82634d37c75;19533758;;Bruno Machado Teles Walter;;2002-02-14T00:00:00Z;2002.0;2.0;14.0;BR;Regio da ponte sobre o rio Preto, a 29 km do entroncamento BsB/Una/Palmital. Na direo de Palmital. Divisa DF/MG;-16.0375;-47.30944;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
ef9d36b9-8f04-4fb0-ad54-c365566c5680;CC_BY_4_0;;CEN;;occurrence;ef9d36b9-8f04-4fb0-ad54-c365566c5680;19533749;;Renata Alves da Mata;;2009-11-26T00:00:00Z;2009.0;11.0;26.0;BR;Planaltina - DF. Fazenda Cooperbrs, Ncleo Rural do Rio Preto;-15.7575;-47.5575;;;;;;Vigna luteola (Jacq.) Benth.;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
bb0b150d-78dd-46f1-a436-5c4f815410c0;CC_BY_4_0;;CEN;;occurrence;bb0b150d-78dd-46f1-a436-5c4f815410c0;19533750;;Anderson Cssio Sevilha;;2004-03-29T00:00:00Z;2004.0;3.0;29.0;BR;Ponto 4 da fitossociologia. Fazenda Chaparral.;-12.946111;-47.537222;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
58276602-0750-46b7-8226-e6853a35e2ed;CC_BY_4_0;;CEN;;occurrence;58276602-0750-46b7-8226-e6853a35e2ed;19533714;;Glocimar Pereira-Silva;;2009-04-25T00:00:00Z;2009.0;4.0;25.0;BR;Estrada Tupiratins - Colinas do Tocantins, km 3 na TO - 432.;-8.383055;-48145.0;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
7cc16d29-13a2-4b4b-9f3c-2b6f53e79dff;CC_BY_4_0;;CEN;;occurrence;7cc16d29-13a2-4b4b-9f3c-2b6f53e79dff;19533746;;Anderson Cssio Sevilha;;2004-03-29T00:00:00Z;2004.0;3.0;29.0;BR;Ponto 27 da fitossociologia. Fazenda So Joo. Prop. Aldair Freire.;-12.921111;-47.561388;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
5c0bd1e5-3b45-4f89-8939-ae3630e24835;CC_BY_4_0;;CEN;;occurrence;5c0bd1e5-3b45-4f89-8939-ae3630e24835;19533735;;Jos Francisco Montenegro Valls;;1991-05-17T00:00:00Z;1991.0;5.0;17.0;BR;Cerca de 10 Km de Rio Sono ao longo da estrada que sai para sudeste da cidade.;-9.34361;-47.9019;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
9329e596-02d0-4f91-ad75-83637249e9e9;CC_BY_4_0;;CEN;;occurrence;9329e596-02d0-4f91-ad75-83637249e9e9;19533759;;Glocimar Pereira-Silva;;2002-03-28T00:00:00Z;2002.0;3.0;28.0;BR;Prximo ao desembocadouro do tnel de fuga - AHE Queimado.;-16.21361;-47.29111;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
2ce8c9a0-8935-4797-9662-feac11d711d5;CC_BY_4_0;;CEN;;occurrence;2ce8c9a0-8935-4797-9662-feac11d711d5;19533736;31979.0;Bruno Machado Teles Walter;;1995-03-30T00:00:00Z;1995.0;3.0;30.0;BR;Fazenda gua Limpa/UnB. Coletada na poro final da mata, a especie  rara, sendo encontrada entre a poro central e o final da mata.;-15.933333;-47.9;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
1afb414f-d4d2-4e3a-aef8-5f1815ebae2d;CC_BY_4_0;;CEN;;occurrence;1afb414f-d4d2-4e3a-aef8-5f1815ebae2d;19533748;;Renata Alves da Mata;;2009-05-28T00:00:00Z;2009.0;5.0;28.0;BR;Planaltina - DF. Fazenda Cooperbrs, Ncleo Rural do Rio Preto;-15.7575;-47.5575;;;;;;Vigna luteola (Jacq.) Benth.;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
6358f460-6453-4fc0-97e5-c49e91e331bd;CC_BY_4_0;;CEN;;occurrence;6358f460-6453-4fc0-97e5-c49e91e331bd;19533757;;Glocimar Pereira-Silva;;2002-03-08T00:00:00Z;2002.0;3.0;8.0;BR;rea de Cerrado a Oeste do escritrio da obra.;-16.21278;-47325.0;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
